price,bedrooms,bathrooms,livingarea,propertytype,listingstatus,vegas_district,latitude,longitude,snapshot_date
7100000.0,5,8.0,10153.0,SINGLE_FAMILY,FOR_SALE,Enterprise,35.979317,-115.19286,2026-02-20
534900.0,3,3.0,2122.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.302166,-115.32317,2026-02-14
459900.0,3,3.0,1547.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,35.997093,-115.255905,2026-02-23
320000.0,3,3.0,1202.0,SINGLE_FAMILY,FOR_SALE,North Las Vegas,36.238663,-115.065834,2026-02-09
675000.0,5,3.0,3037.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.29039,-115.32404,2026-02-20
619000.0,4,3.0,2819.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.300854,-115.318245,2026-02-15
439999.0,3,2.0,1503.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.301052,-115.328705,2026-02-23
1200000.0,4,3.0,3918.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,36.024693,-115.275505,2026-02-17
609000.0,4,4.0,3076.0,SINGLE_FAMILY,FOR_SALE,Enterprise,36.00728,-115.20828,2026-02-21
380000.0,3,3.0,1289.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.2989,-115.319214,2026-02-21
415000.0,2,2.0,1157.0,SINGLE_FAMILY,FOR_SALE,Winchester,36.127853,-115.047,2026-02-17
535000.0,3,3.0,2122.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.302307,-115.32324,2026-02-23
429000.0,3,3.0,1991.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,36.002686,-115.24534,2026-02-09
475000.0,3,2.0,1676.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,35.998203,-115.24816,2026-02-22
510000.0,4,4.0,2352.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.302155,-115.32865,2026-02-11
1295000.0,4,4.0,3846.0,SINGLE_FAMILY,FOR_SALE,Summerlin,36.23538,-115.28569,2026-02-23
523000.0,4,3.0,2321.0,SINGLE_FAMILY,FOR_SALE,Spring Valley,36.08437,-115.25811,2026-02-09
550000.0,4,3.0,2948.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.29089,-115.298386,2026-02-22
459000.0,3,2.0,1676.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,35.996555,-115.24858,2026-02-20
534500.0,4,4.0,2613.0,SINGLE_FAMILY,FOR_SALE,Enterprise,36.03757,-115.20136,2026-02-22
299900.0,3,3.0,1645.0,SINGLE_FAMILY,FOR_SALE,North Las Vegas,36.24339,-115.05862,2026-02-22
850000.0,4,3.0,2451.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,36.08398,-115.326,2026-02-11
889000.0,5,5.0,4521.0,SINGLE_FAMILY,FOR_SALE,Enterprise,36.03909,-115.22976,2026-02-22
498888.0,4,4.0,2334.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.295082,-115.32733,2026-02-20
440000.0,3,3.0,1826.0,SINGLE_FAMILY,FOR_SALE,Mountains Edge,35.988564,-115.25365,2026-02-17
525000.0,5,3.0,2948.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.290226,-115.298325,2026-02-23
700000.0,4,3.0,3952.0,SINGLE_FAMILY,FOR_SALE,Enterprise,36.00954,-115.209175,2026-02-23
999000.0,4,3.0,3617.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.275143,-115.29631,2026-02-15
748000.0,4,4.0,3122.0,SINGLE_FAMILY,FOR_SALE,Spring Valley,36.128216,-115.24888,2026-02-14
799999.0,4,3.0,2355.0,SINGLE_FAMILY,FOR_SALE,Centennial,36.288,-115.31989,2026-02-09
